Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,D,D_SOD-123,50.099996,-72.375000,90.000000,bottom
D_1,D,D_SOD-123,69.149996,-72.375000,90.000000,bottom
D_2,D,D_SOD-123,88.199996,-72.375000,90.000000,bottom
D_3,D,D_SOD-123,107.249996,-72.375000,90.000000,bottom
D_4,D,D_SOD-123,126.299996,-72.375000,90.000000,bottom
D_5,D,D_SOD-123,145.349996,-72.375000,90.000000,bottom
D_6,D,D_SOD-123,164.399996,-72.375000,90.000000,bottom
D_7,D,D_SOD-123,183.449996,-72.375000,90.000000,bottom
D_8,D,D_SOD-123,202.499996,-72.375000,90.000000,bottom
D_9,D,D_SOD-123,221.549996,-72.375000,90.000000,bottom
D_10,D,D_SOD-123,240.599996,-72.375000,90.000000,bottom
D_11,D,D_SOD-123,259.649996,-72.375000,90.000000,bottom
D_12,D,D_SOD-123,278.699996,-72.375000,90.000000,bottom
D_13,D,D_SOD-123,297.749996,-72.375000,90.000000,bottom
D_14,D,D_SOD-123,311.420000,-72.375000,90.000000,bottom
D_15,D,D_SOD-123,59.659996,-91.575000,90.000000,bottom
D_16,D,D_SOD-123,78.709996,-91.575000,90.000000,bottom
D_17,D,D_SOD-123,97.759996,-91.575000,90.000000,bottom
D_18,D,D_SOD-123,116.809996,-91.575000,90.000000,bottom
D_19,D,D_SOD-123,135.859996,-91.575000,90.000000,bottom
D_20,D,D_SOD-123,154.909996,-91.575000,90.000000,bottom
D_21,D,D_SOD-123,173.959996,-91.575000,90.000000,bottom
D_22,D,D_SOD-123,193.009996,-91.575000,90.000000,bottom
D_23,D,D_SOD-123,212.059996,-91.575000,90.000000,bottom
D_24,D,D_SOD-123,231.109996,-91.575000,90.000000,bottom
D_25,D,D_SOD-123,250.159996,-91.575000,90.000000,bottom
D_26,D,D_SOD-123,269.209996,-91.575000,90.000000,bottom
D_27,D,D_SOD-123,288.259996,-91.575000,90.000000,bottom
D_28,D,D_SOD-123,311.675000,-100.850000,90.000000,bottom
D_29,D,D_SOD-123,54.674996,-110.575000,90.000000,bottom
D_30,D,D_SOD-123,83.249996,-110.575000,90.000000,bottom
D_31,D,D_SOD-123,102.299996,-110.575000,90.000000,bottom
D_32,D,D_SOD-123,121.349996,-110.575000,90.000000,bottom
D_33,D,D_SOD-123,140.399996,-110.575000,90.000000,bottom
D_34,D,D_SOD-123,159.449996,-110.575000,90.000000,bottom
D_35,D,D_SOD-123,178.499996,-110.575000,90.000000,bottom
D_36,D,D_SOD-123,197.549996,-110.575000,90.000000,bottom
D_37,D,D_SOD-123,216.599996,-110.575000,90.000000,bottom
D_38,D,D_SOD-123,235.649996,-110.575000,90.000000,bottom
D_39,D,D_SOD-123,254.699996,-110.575000,90.000000,bottom
D_40,D,D_SOD-123,273.749996,-110.575000,90.000000,bottom
D_41,D,D_SOD-123,292.799996,-110.575000,90.000000,bottom
D_42,D,D_SOD-123,54.662496,-129.575000,90.000000,bottom
D_43,D,D_SOD-123,73.712496,-129.575000,90.000000,bottom
D_44,D,D_SOD-123,92.762496,-129.575000,90.000000,bottom
D_45,D,D_SOD-123,111.812496,-129.575000,90.000000,bottom
D_46,D,D_SOD-123,130.862496,-129.575000,90.000000,bottom
D_47,D,D_SOD-123,149.912496,-129.575000,90.000000,bottom
D_48,D,D_SOD-123,168.962496,-129.575000,90.000000,bottom
D_49,D,D_SOD-123,188.012496,-129.575000,90.000000,bottom
D_50,D,D_SOD-123,207.062496,-129.575000,90.000000,bottom
D_51,D,D_SOD-123,226.112496,-129.575000,90.000000,bottom
D_52,D,D_SOD-123,245.162496,-129.575000,90.000000,bottom
D_53,D,D_SOD-123,264.212496,-129.575000,90.000000,bottom
D_54,D,D_SOD-123,297.549996,-129.575000,90.000000,bottom
D_55,D,D_SOD-123,311.420000,-129.575000,90.000000,bottom
D_56,D,D_SOD-123,66.437496,-146.225000,90.000000,bottom
D_57,D,D_SOD-123,95.012496,-146.225000,90.000000,bottom
D_58,D,D_SOD-123,173.599996,-146.175000,90.000000,bottom
D_59,D,D_SOD-123,256.937496,-146.225000,90.000000,bottom
D_60,D,D_SOD-123,280.749996,-146.225000,90.000000,bottom
C1,100nF 0402,C_0402_1005Metric,171.450000,-36.625000,135.000000,top
C2,1uF 0402,C_0402_1005Metric,177.020000,-40.120000,90.000000,top
C3,100nF 0402,C_0402_1005Metric,178.080000,-51.570000,0.000000,top
C4,100nF 0402,C_0402_1005Metric,174.370000,-39.660000,90.000000,top
C5,1uF 0402,C_0402_1005Metric,178.000000,-40.570000,90.000000,top
C6,100nF 0402,C_0402_1005Metric,175.340000,-40.270000,90.000000,top
C7,100nF 0402,C_0402_1005Metric,176.190000,-52.060000,0.000000,top
C8,100nF 0402,C_0402_1005Metric,169.875000,-42.900000,180.000000,top
C9,PCG0E472MCL1GS,CP_Elec_10x12.6,193.400000,-34.400000,-90.000000,top
C10,100nF 0402,C_0402_1005Metric,166.910000,-46.590000,180.000000,top
C11,100nF 0402,C_0402_1005Metric,181.000000,-46.920000,0.000000,top
C12,100nF 0402,C_0402_1005Metric,180.100000,-42.875000,0.000000,top
C14,100nF 0402,C_0402_1005Metric,177.650000,-55.750000,90.000000,top
C15,100nF 0402,C_0402_1005Metric,172.400000,-55.496446,90.000000,top
C16,1uF 0402,C_0402_1005Metric,178.750000,-34.225000,180.000000,top
C17,1uF 0402,C_0402_1005Metric,180.025000,-37.620000,90.000000,top
D1,SMA general purpose,D_SMA,184.177500,-33.200000,180.000000,top
D2,1n4004,D_SMA,205.750000,-34.274999,-90.000000,top
D3,1n4004,D_SMA,201.499999,-34.275000,-90.000000,top
D4,1n4004,D_SMA,209.999999,-34.275000,-90.000000,top
D5,1n4004,D_SMA,214.250000,-34.275001,-90.000000,top
D6,1n4004,D_SMA,218.249998,-34.275001,-90.000000,top
D7,1n4004,D_SMA,222.749999,-34.275001,-90.000000,top
J1,HRO_TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,175.000000,-27.490000,0.000000,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,185.440000,-54.900000,-90.000000,top
K_0,KEYSW,MXOnly-1U-NoLED,41.609996,-67.765000,0.000000,top
K_1,KEYSW,MXOnly-1U-NoLED,60.659996,-67.765000,0.000000,top
K_2,KEYSW,MXOnly-1U-NoLED,79.709996,-67.765000,0.000000,top
K_3,KEYSW,MXOnly-1U-NoLED,98.759996,-67.765000,0.000000,top
K_4,KEYSW,MXOnly-1U-NoLED,117.809996,-67.765000,0.000000,top
K_5,KEYSW,MXOnly-1U-NoLED,136.859996,-67.765000,0.000000,top
K_6,KEYSW,MXOnly-1U-NoLED,155.909996,-67.765000,0.000000,top
K_7,KEYSW,MXOnly-1U-NoLED,174.959996,-67.765000,0.000000,top
K_8,KEYSW,MXOnly-1U-NoLED,194.009996,-67.765000,0.000000,top
K_9,KEYSW,MXOnly-1U-NoLED,213.059996,-67.765000,0.000000,top
K_10,KEYSW,MXOnly-1U-NoLED,232.109996,-67.765000,0.000000,top
K_11,KEYSW,MXOnly-1U-NoLED,251.159996,-67.765000,0.000000,top
K_12,KEYSW,MXOnly-1U-NoLED,270.209996,-67.765000,0.000000,top
K_13,KEYSW,MXOnly-1U-NoLED,289.259996,-67.765000,0.000000,top
K_14,KEYSW,MXOnly-1U-NoLED,308.309996,-67.765000,0.000000,top
K_15,KEYSW,MXOnly-1U-NoLED,46.372496,-86.815000,0.000000,top
K_16,KEYSW,MXOnly-1U-NoLED,70.184996,-86.815000,0.000000,top
K_17,KEYSW,MXOnly-1U-NoLED,89.234996,-86.815000,0.000000,top
K_18,KEYSW,MXOnly-1U-NoLED,108.284996,-86.815000,0.000000,top
K_19,KEYSW,MXOnly-1U-NoLED,127.334996,-86.815000,0.000000,top
K_20,KEYSW,MXOnly-1U-NoLED,146.384996,-86.815000,0.000000,top
K_21,KEYSW,MXOnly-1U-NoLED,165.434996,-86.815000,0.000000,top
K_22,KEYSW,MXOnly-1U-NoLED,184.484996,-86.815000,0.000000,top
K_23,KEYSW,MXOnly-1U-NoLED,203.534996,-86.815000,0.000000,top
K_24,KEYSW,MXOnly-1U-NoLED,222.584996,-86.815000,0.000000,top
K_25,KEYSW,MXOnly-1U-NoLED,241.634996,-86.815000,0.000000,top
K_26,KEYSW,MXOnly-1U-NoLED,260.684996,-86.815000,0.000000,top
K_27,KEYSW,MXOnly-1U-NoLED,279.734996,-86.815000,0.000000,top
K_28,KEYSW,MXOnly-1U-NoLED,305.939996,-96.340000,0.000000,top
K_29,KEYSW,MXOnly-1U-NoLED,43.991296,-105.865000,0.000000,top
K_30,KEYSW,MXOnly-1U-NoLED,74.947496,-105.865000,0.000000,top
K_31,KEYSW,MXOnly-1U-NoLED,93.997496,-105.865000,0.000000,top
K_32,KEYSW,MXOnly-1U-NoLED,113.047496,-105.865000,0.000000,top
K_33,KEYSW,MXOnly-1U-NoLED,132.097496,-105.865000,0.000000,top
K_34,KEYSW,MXOnly-1U-NoLED,151.147496,-105.865000,0.000000,top
K_35,KEYSW,MXOnly-1U-NoLED,170.197496,-105.865000,0.000000,top
K_36,KEYSW,MXOnly-1U-NoLED,189.247496,-105.865000,0.000000,top
K_37,KEYSW,MXOnly-1U-NoLED,208.297496,-105.865000,0.000000,top
K_38,KEYSW,MXOnly-1U-NoLED,227.347496,-105.865000,0.000000,top
K_39,KEYSW,MXOnly-1U-NoLED,246.397496,-105.865000,0.000000,top
K_40,KEYSW,MXOnly-1U-NoLED,265.447496,-105.865000,0.000000,top
K_41,KEYSW,MXOnly-1U-NoLED,284.497496,-105.865000,0.000000,top
K_42,KEYSW,MXOnly-1U-NoLED,43.991296,-124.915000,0.000000,top
K_43,KEYSW,MXOnly-1U-NoLED,65.422496,-124.915000,0.000000,top
K_44,KEYSW,MXOnly-1U-NoLED,84.472496,-124.915000,0.000000,top
K_45,KEYSW,MXOnly-1U-NoLED,103.522496,-124.915000,0.000000,top
K_46,KEYSW,MXOnly-1U-NoLED,122.572496,-124.915000,0.000000,top
K_47,KEYSW,MXOnly-1U-NoLED,141.622496,-124.915000,0.000000,top
K_48,KEYSW,MXOnly-1U-NoLED,160.672496,-124.915000,0.000000,top
K_49,KEYSW,MXOnly-1U-NoLED,179.722496,-124.915000,0.000000,top
K_50,KEYSW,MXOnly-1U-NoLED,198.772496,-124.915000,0.000000,top
K_51,KEYSW,MXOnly-1U-NoLED,217.822496,-124.915000,0.000000,top
K_52,KEYSW,MXOnly-1U-NoLED,236.872496,-124.915000,0.000000,top
K_53,KEYSW,MXOnly-1U-NoLED,255.922496,-124.915000,0.000000,top
K_54,KEYSW,MXOnly-1U-NoLED,282.116296,-124.915000,0.000000,top
K_55,KEYSW,MXOnly-1U-NoLED,308.309996,-124.915000,0.000000,top
K_56,KEYSW,MXOnly-1U-NoLED,58.278796,-143.965000,0.000000,top
K_57,KEYSW,MXOnly-1U-NoLED,84.472496,-143.965000,0.000000,top
K_58,KEYSW,MXOnly-1U-NoLED,165.434996,-143.965000,0.000000,top
K_59,KEYSW,MXOnly-1U-NoLED,246.397496,-143.965000,0.000000,top
K_60,KEYSW,MXOnly-1U-NoLED,272.591296,-143.965000,0.000000,top
L1,SWPA4030S100MT,L_Sunlord_SWPA4030S,185.400000,-37.400000,-90.000000,top
Q1,AO3400A,SOT-23,205.749999,-39.862500,270.000000,top
Q2,AO3400A,SOT-23,201.500000,-39.862500,270.000000,top
Q3,AO3400A,SOT-23,209.999999,-39.912501,270.000000,top
Q4,AO3400A,SOT-23,214.249999,-39.912500,270.000000,top
Q5,AO3400A,SOT-23,218.275000,-39.912499,270.000000,top
Q6,AO3400A,SOT-23,222.750000,-39.915000,270.000000,top
R1,10K 0402,R_0402_1005Metric,168.100000,-41.300000,-45.000000,top
R2,27 0402,R_0402_1005Metric,174.450000,-36.450000,90.000000,top
R3,27 0402,R_0402_1005Metric,175.550000,-36.450000,90.000000,top
R4,1K 0402,R_0402_1005Metric,177.650000,-53.850000,90.000000,top
R5,5.1K 0402,R_0402_1005Metric,176.250000,-33.750000,-90.000000,top
R6,5.1K 0402,R_0402_1005Metric,173.250000,-33.750000,-90.000000,top
R7,10K 0402,R_0402_1005Metric,177.300000,-33.750000,90.000000,top
R8,1K 0402,R_0402_1005Metric,166.625000,-41.325000,-45.000000,top
S1,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,205.750000,-46.400000,180.000000,top
S2,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,210.049999,-46.500002,180.000000,top
S3,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,214.250000,-46.400000,180.000000,top
S4,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,218.250000,-46.400000,180.000000,top
S5,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,222.749999,-46.400000,180.000000,top
S6,SOLENOID Connector,PinHeader_1x02_P2.54mm_Vertical,201.450000,-46.400000,180.000000,top
SW1,Alps SKRK,SW_Push_SPST_NO_Alps_SKRK,167.625000,-37.450000,-135.000000,top
SW2,Alps SKRK,SW_Push_SPST_NO_Alps_SKRK,188.415076,-51.665076,135.000000,top
U1,TLV75533PDBV,SOT-23-5,177.800000,-36.800000,90.000000,top
U101,RP2040,RP2040-QFN-56,175.000000,-45.700000,270.000000,top
U103,W25Q16,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,170.680000,-39.180000,45.000000,top
Y1,12MHz 3225,Crystal_SMD_3225-4Pin_3.2x2.5mm,175.000000,-54.696447,180.000000,top
