"Comment","Designator","Footprint","LCSC Part #"
"100nF 0402","C1,C3,C4,C6,C7,C8,C10,C11,C12","C_0402_1005Metric","no_part_number"
"1uF 0402","C2,C5,C16,C17,C19","C_0402_1005Metric","no_part_number"
"PCG0E472MCL1GS","C9","CP_Elec_18x17.5","no_part_number"
"0.1uF 0402","C13","C_0402_1005Metric","no_part_number"
"22pF 0402","C14,C15","C_0402_1005Metric","no_part_number"
"100uF 0402","C18","C_0402_1005Metric","no_part_number"
"SMA general purpose","D1","D_SMA","no_part_number"
"1n4004","D2,D3,D4,D5,D6,D7","D_SMA","no_part_number"
"D","D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60","D_SOD-123","no_part_number"
"MountingHole","H1,H2,H3,H4","MountingHole_3.5mm_Pad","no_part_number"
"HRO_TYPE-C-31-M-12","J1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","no_part_number"
"Conn_01x03","J2","PinHeader_1x03_P2.54mm_Vertical","no_part_number"
"Conn_01x05","J3","PinHeader_1x05_P2.54mm_Vertical","no_part_number"
"KEYSW","K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_32,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_47,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_59,K_60","MXOnly-1U-NoLED","no_part_number"
"AO3400A","Q1,Q2,Q3,Q4,Q5,Q6","SOT-23","no_part_number"
"10K 0402","R1,R7,R9,R10","R_0402_1005Metric","no_part_number"
"27 0402","R2,R3","R_0402_1005Metric","no_part_number"
"1K 0402","R4,R8","R_0402_1005Metric","no_part_number"
"5.1K 0402","R5,R6","R_0402_1005Metric","no_part_number"
"17.4kÎ© 0402","R11","R_0402_1005Metric","no_part_number"
"SOLENOID Connector","S1,S2,S3,S4,S5,S6","PinHeader_1x02_P2.54mm_Vertical","no_part_number"
"Stabiliser","STAB1","Stabilizer_Cherry_MX_7u","no_part_number"
"Stabiliser","STAB2","Stabilizer_Cherry_MX_2u","no_part_number"
"Alps SKRK","SW1,SW2","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"TLV75533PDBV","U1","SOT-23-5","no_part_number"
"AP22615","U2","TSOT-23-6","no_part_number"
"RP2040","U101","RP2040-QFN-56","no_part_number"
"W25Q16","U103","SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm","no_part_number"
"12MHz 3225","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","no_part_number"
